iter	Passed	Remaining
0	414	61771
1	908	67216
2	1391	68181
3	1826	66682
4	2251	65297
5	2706	64945
6	3138	64124
7	3619	64249
8	4053	63510
9	4479	62717
10	4907	62016
11	5403	62142
12	5839	61542
13	6292	61122
14	6696	60268
15	7108	59534
16	7561	59161
17	7945	58268
18	8320	57366
19	8689	56478
20	9099	55894
21	9547	55551
22	9916	54755
23	10253	53829
24	10603	53018
25	10946	52204
26	11328	51609
27	11675	50870
28	11991	50034
29	12285	49143
30	12644	48538
31	13085	48252
32	13409	47541
33	13772	46988
34	14176	46579
35	14518	45976
36	14916	45555
37	15278	45032
38	15677	44621
39	16052	44143
40	16451	43737
41	16831	43280
42	17207	42817
43	17474	42096
44	17854	41659
45	18221	41196
46	18621	40809
47	19036	40453
48	19477	40147
49	19854	39708
50	20210	39231
51	20561	38750
52	21008	38450
53	21368	37988
54	21732	37537
55	22111	37115
56	22520	36744
57	22851	36246
58	23224	35821
59	23560	35341
60	23932	34918
61	24264	34439
62	24690	34096
63	25075	33695
64	25396	33210
65	25765	32792
66	26186	32440
67	26539	32003
68	26856	31527
69	27269	31164
70	27688	30807
71	28026	30361
72	28339	29892
73	28662	29437
74	28959	28959
75	29264	28494
76	29651	28111
77	29994	27686
78	30362	27287
79	30664	26831
80	30947	26362
81	31313	25966
82	31721	25606
83	32087	25211
84	32459	24821
85	32776	24391
86	33147	24003
87	33448	23565
88	33740	23125
89	34170	22780
90	34511	22375
91	34903	22004
92	35225	21589
93	35603	21210
94	35935	20804
95	36383	20465
96	36699	20052
97	37019	19643
98	37413	19273
99	37758	18879
100	38092	18480
101	38513	18124
102	38875	17739
103	39282	17375
104	39660	16997
105	39934	16576
106	40251	16175
107	40615	15794
108	40920	15391
109	41218	14988
110	41569	14605
111	41903	14217
112	42228	13826
113	42637	13464
114	42917	13061
115	43264	12680
116	43620	12303
117	43926	11912
118	44356	11555
119	44686	11171
120	44980	10780
121	45322	10401
122	45701	10032
123	46040	9653
124	46403	9280
125	46740	8903
126	47057	8522
127	47390	8145
128	47745	7772
129	48127	7404
130	48513	7036
131	48814	6656
132	49102	6276
133	49449	5904
134	49883	5542
135	50149	5162
136	50541	4795
137	50886	4424
138	51237	4054
139	51568	3683
140	51893	3312
141	52311	2947
142	52660	2577
143	53012	2208
144	53349	1839
145	53744	1472
146	54082	1103
147	54478	736
148	54843	368
149	55158	0
